Date,Open,High,Low,Close,Adj Close,Volume
2023-03-17,419.000000,423.450012,414.549988,419.000000,419.000000,8658701
2023-03-20,415.600006,416.950012,405.500000,410.750000,410.750000,10075022
2023-03-21,412.850006,413.899994,407.700012,412.549988,412.549988,7391950
2023-03-22,416.000000,418.399994,413.750000,416.100006,416.100006,5728054
2023-03-23,416.000000,422.500000,416.000000,419.149994,419.149994,9817460
2023-03-24,419.000000,420.549988,414.799988,416.500000,416.500000,6877960
2023-03-27,416.000000,418.500000,410.250000,412.049988,412.049988,7433933
2023-03-28,414.149994,414.500000,400.450012,401.600006,401.600006,9553659
2023-03-29,401.600006,410.600006,401.600006,409.200012,409.200012,10478506
2023-03-31,411.350006,421.750000,411.000000,420.799988,420.799988,11037881
2023-04-03,423.000000,424.950012,419.500000,424.250000,424.250000,6948329
2023-04-05,424.250000,428.750000,423.149994,426.549988,426.549988,8821326
2023-04-06,426.500000,439.299988,423.750000,437.649994,437.649994,10907492
2023-04-10,452.049988,473.299988,452.000000,461.299988,461.299988,50462653
2023-04-11,463.750000,463.750000,455.799988,458.700012,458.700012,14495222
2023-04-12,459.350006,468.600006,458.200012,465.500000,465.500000,13552440
2023-04-13,464.950012,472.000000,463.250000,469.500000,469.500000,12733670
2023-04-17,471.000000,473.000000,465.799988,472.149994,472.149994,10710167
2023-04-18,475.000000,483.350006,468.100006,473.000000,473.000000,16140056
2023-04-19,473.000000,475.500000,467.850006,469.399994,469.399994,7368610
2023-04-20,473.700012,479.700012,469.399994,476.799988,476.799988,14264206
2023-04-21,476.700012,476.700012,467.200012,471.200012,471.200012,8478118
2023-04-24,471.200012,476.000000,468.299988,475.200012,475.200012,8020593
2023-04-25,475.200012,476.399994,471.899994,473.549988,473.549988,6888352
2023-04-26,473.000000,479.500000,472.600006,478.200012,478.200012,7791425
2023-04-27,478.500000,482.000000,476.500000,481.600006,481.600006,7085793
2023-04-28,481.399994,488.000000,478.350006,484.950012,484.950012,9947813
2023-05-02,482.500000,484.000000,474.549988,480.250000,480.250000,11542592
2023-05-03,480.250000,485.100006,477.750000,483.700012,483.700012,8529233
2023-05-04,483.600006,486.399994,478.750000,480.799988,480.799988,5650101
2023-05-05,481.649994,484.700012,476.149994,477.100006,477.100006,4830674
2023-05-08,480.000000,502.299988,478.100006,500.500000,500.500000,23515333
2023-05-09,502.000000,512.799988,501.549988,503.649994,503.649994,19818780
2023-05-10,508.000000,512.900024,504.350006,509.500000,509.500000,12481404
2023-05-11,512.000000,514.150024,505.500000,511.600006,511.600006,11454020
2023-05-12,513.900024,520.500000,510.299988,515.950012,515.950012,19766717
